Title,Year,Genre,Director,Cast,Languages,Plot
"Cell, The",2000.0,Sci-Fi|Thriller,Tarsem Singh,"Jennifer Lopez,Vince Vaughn,Vincent D'Onofrio,Catherine Sutherland,James Gammon",English,A psychotherapist journeys inside a comatose serial killer in the hopes of saving his latest victim.
Mrs. Miniver,1942.0,Drama|War,William Wyler,"Greer Garson,Walter Pidgeon,Teresa Wright,May Whitty,Reginald Owen","Deutsch,English","Middle-class housewife Kay Miniver deals with petty problems. She and her husband Clem watch her Oxford-educated son Vin court Carol Beldon, the charming granddaughter of the local nobility as represented by Lady Beldon. Then the war comes and Vin joins the RAF."
Blind Date,1987.0,Comedy|Romance,Blake Edwards,"Kim Basinger,Bruce Willis,John Larroquette,William Daniels,George Coe",English,"When bachelor Walter Davis is set up with his sister-in-law's pretty cousin, Nadia Gates, a seemingly average blind date turns into a chaotic night on the town. Walter's brother, Ted, tells him not to let Nadia drink alcohol, but he dismisses the warning and her behaviour gets increasingly wild. Walter and Nadia's numerous incidents are made even worse as her former lover David relentlessly follows them around town."
Blame It on Rio,1984.0,Comedy|Romance,Stanley Donen,"Michael Caine,Michelle Johnson,Joseph Bologna,Demi Moore,Valerie Harper","English,Português","Matthew Hollis is man on holiday in Rio with his best friend. Both men have teenage daughters with them. When Matthew falls for his best friend's amorous daughter named Jennifer, they embark on a secret, if slightly one-sided relationship. Jennifer's father is furious when he finds out about the 'older man' in his daughter's life, and sets out to hunt him down with the aid of Matthew!"
Stalker,1979.0,Mystery|Sci-Fi,Andrei Tarkovsky,"Aleksandr Kaydanovskiy,Anatoliy Solonitsyn,Nikolay Grinko,Alisa Freyndlikh,Natasha Abramova",Pусский,"Near a gray and unnamed city is the Zone, a place guarded by barbed wire and soldiers, and where the normal laws of physics are victim to frequent anomalies. A stalker guides two men into the Zone, specifically to an area in which deep-seated desires are granted."
Screamers,1995.0,Sci-Fi|Thriller,Christian Duguay,"Peter Weller,Jennifer Rubin,Roy Dupuis,Andrew Lauer,Liliana Głąbczyńska",English,"SIRIUS 6B, Year 2078. On a distant mining planet ravaged by a decade of war, scientists have created the perfect weapon: a blade-wielding, self-replicating race of killing devices known as Screamers designed for one purpose only -- to hunt down and destroy all enemy life forms."
Runaway,1984.0,Sci-Fi|Thriller,Michael Crichton,"Tom Selleck,Cynthia Rhodes,Gene Simmons,Kirstie Alley,Stan Shaw",English,"In the near future, a police officer specializes in malfunctioning robots. When a robot turns out to have been programmed to kill, he begins to uncover a homicidal plot to create killer robots... and his son becomes a target."
On Her Majesty's Secret Service,1969.0,Action,Peter R. Hunt,"George Lazenby,Diana Rigg,Telly Savalas,Gabriele Ferzetti,Ilse Steppat","English,Deutsch","James Bond tracks his archnemesis, Ernst Blofeld, to a mountaintop retreat in the Swiss alps where he is training an army of beautiful, lethal women. Along the way, Bond falls for Italian contessa Tracy Draco, and marries her in order to get closer to Blofeld."
"Family Thing, A",1996.0,Comedy|Drama,Richard Pearce,"Robert Duvall,James Earl Jones,Michael Beach,Irma P. Hall,Grace Zabriskie",English,"Earl Pilcher Jr., runs an equipment rental outfit in Arkansas, lives with his wife and kids and parents, and rarely takes off his gimme cap. His mother dies, leaving a letter explaining he's not her natural son, but the son of a Black woman who died in childbirth; plus, he has a half brother Ray, in Chicago, she wants him to visit. Earl makes the trip, initially receiving a cold welcome from Ray and Ray's son, Virgil. His birth mother's sister, Aunt T., an aged and blind matriarch, takes Earl in tow and insists that the family open up to him."
"Truth or Consequences, N.M.",1997.0,Action|Crime|Romance,Kiefer Sutherland,"Vincent Gallo,Kiefer Sutherland,Max Perlich,Rod Steiger,John C. McGinley",English,"Raymond Lembecke is a con just out of prison after serving time for selling drugs for his mob boss Tony Vago. (Lembecke was innocent and took the rap for Vago.) Lembecke thinks Vago owes him big time so, when his former boss gets him a measly job in a warehouse, he decides on revenge and plans to steal a million dollars worth of drugs from him."
