MovielensID,Title,Year,Genre,Director,Cast,Runtime,Languages,Certificate,Plot,Url
1658,"Life Less Ordinary, A",1997,Romance|Thriller,Danny Boyle,"Ewan McGregor,Cameron Diaz,Holly Hunter,Delroy Lindo,Dan Hedaya",103 minutes,English,R,"A couple of angels, O'Reilly and Jackson, are sent to Earth to make sure that their next supervised love-connection succeeds. They follow Celine, a spoiled rich girl who has just accidentally shot a suitor and, due to a misunderstanding, is kidnapped by janitor Robert. Although Celine quickly frees herself, she stays with Robert for thrills. O'Reilly and Jackson pursue, hoping to unite the prospective lovers.",https://movielens.org/movies/1658
771,"Vie est belle, La (Life is Rosey)",1987,Comedy|Drama,"Benoît Lamy,Mwezé Ngangura","Papa Wemba,Landu Nzunzimbu Matshia,Bibi Krubwa,Kanko Kasongo,Lokinda Menji Feza",80 minutes,"Français,",,A young man with dreams of pursuing a career in music moves form his small village to  the capital. Along the way he falls head over heels for a woman - the same woman his boss is also pursuing for his own reasons.,https://movielens.org/movies/771
3136,"James Dean Story, The",1957,Documentary,"Robert Altman,George W. George","James Dean,Martin Gabel,Lew Bracker,Marvin Carter,Patsy D'Amore",81 minutes,"English,Français",,"Released two years after James Dean's death, this documentary chronicles his short life and career via black-and-white still photographs, interviews with the aunt and uncle who raised him, his paternal grandparents, a New York City cabdriver friend, the owner of his favorite Los Angeles restaurant, outtakes from East of Eden, footage of the opening night of Giant, and Dean's ironic PSA for safe driving.",https://movielens.org/movies/3136
1602,Leave It to Beaver,1997,Comedy,Andy Cadiff,"Christopher McDonald,Janine Turner,Cameron Finley,Erik von Detten,Adam Zolotin",84 minutes,English,PG,"Cleavers are an all-American family living in Ohio - wise father Ward, loving mother June, teen-age son Wally and 8-year-old ""Beaver"" Theodore. Beaver hopes to get a bike as a gift from his father and to please him tries out for his school football team and he makes it, only to be embarrassed. The bike he gets is quickly stolen. Meanwhile Wally is trying to help his friend Eddie Haskell to get the heart of pretty classmate Karen, but Karen seems to like Wally more, and that leads to tensions between the friends.",https://movielens.org/movies/1602
1076,"Innocents, The",1961,Thriller,Jack Clayton,"Deborah Kerr,Peter Wyngarde,Megs Jenkins,Michael Redgrave,Martin Stephens",100 minutes,English,NR,A young governess for two children becomes convinced that the house and grounds are haunted by ghosts and that the children are being possessed.,https://movielens.org/movies/1076
2310,"Mighty, The",1998,Drama,Peter Chelsom,"Sharon Stone,Elden Henson,Kieran Culkin,Gena Rowlands,Harry Dean Stanton",100 minutes,English,PG-13,"Kevin, an intelligent guy helps out Maxwell to improve his reading skills. In return, Kevin wants Maxwell to take him out places since he is not authorized to go out. Being the social outcasts of the town, Kevin and Maxwell come to realize that they are similar to each other and accept that they are ""freaks"" and nothing will stop them.",https://movielens.org/movies/2310
1693,Amistad,1997,Drama,Steven Spielberg,"Morgan Freeman,Nigel Hawthorne,Anthony Hopkins,Djimon Hounsou,Matthew McConaughey",155 minutes,"English,Español",R,"In 1839, the slave ship Amistad set sail from Cuba to America. During the long trip, Cinque leads the slaves in an unprecedented uprising. They are then held prisoner in Connecticut, and their release becomes the subject of heated debate. Freed slave Theodore Joadson wants Cinque and the others exonerated and recruits property lawyer Roger Baldwin to help his case. Eventually, John Quincy Adams also becomes an ally.",https://movielens.org/movies/1693
329,Star Trek: Generations,1994,Action|Adventure|Sci-Fi,David Carson,"Patrick Stewart,Jonathan Frakes,Brent Spiner,LeVar Burton,Michael Dorn",117 minutes,English,PG,Captain Jean-Luc Picard and the crew of the Enterprise-D find themselves at odds with the renegade scientist Soran who is destroying entire star systems. Only one man can help Picard stop Soran's scheme...and he's been dead for seventy-eight years.,https://movielens.org/movies/329
1170,Best of the Best 3: No Turning Back,1995,Action,Phillip Rhee,"Phillip Rhee,Christopher McDonald,Gina Gershon,Mark Rolston,Peter Simmons",90 minutes,English,,A martial arts instructor comes to the defense of a schoolteacher who has taken a stand against a local white supremacist organization.,https://movielens.org/movies/1170
2821,Male and Female,1919,Adventure|Drama,Cecil B. DeMille,"Thomas Meighan,Gloria Swanson,Lila Lee,Theodore Roberts,Robert Cain",116 minutes,No Language,NR,"When an aristocratic family and their servants are shipwrecked, the butler becomes their ruler.",https://movielens.org/movies/2821
106,Nobody Loves Me (Keiner liebt mich),1994,Comedy|Drama,Doris Dörrie,"Maria Schrader,Pierre Sanoussi-Bliss,Michael von Au,Elisabeth Trissenaar,Joachim Król",104 minutes,Deutsch,,"On the brink of her 30th birthday, Fanny feels the door to marital happiness closing on her. She is obsessed with death and even visits evening classes on dying, so it seems fitting that she encounters a skeleton in the malfunctioning elevator of her apartment building. The skeleton is her neighbour Orfeo, a Black, gay, self-declared psychic, who convinces her that she is about to meet ""him"". But is it really Lothar, the new yuppie apartment manager ...?",https://movielens.org/movies/106
3860,"Opportunists, The",2000,Crime,Myles Connell,"Christopher Walken,Peter McDonald,Anne Pitoniak,Kate Burton,Jim Mayzik",90 minutes,English,R,"Vic is a struggling auto mechanic with a safe-cracking past and a lot of debt. His girlfriend runs a bar and offers to loan him the money she's saved for remodeling, but Vic is reluctant to take it. When a long-lost cousin from Ireland shows up on his doorstep, the two team up for one last heist.",https://movielens.org/movies/3860
3752,"Me, Myself and Irene",2000,Comedy,"Bobby Farrelly,Peter Farrelly","Jim Carrey,Renée Zellweger,Anthony Anderson,Robert Forster,Richard Jenkins",116 minutes,"English,Deutsch",R,"Rhode Island State Trooper Charlie Baileygates has a multiple personality disorder. One personality is crazy and aggressive, while the other is more friendly and laid back. Both of these personalities fall in love with the same woman named Irene after Charlie loses his medication.",https://movielens.org/movies/3752
3266,Man Bites Dog (C'est arrivé près de chez vous),1992,Action|Comedy|Crime|Drama,"Benoît Poelvoorde,Rémy Belvaux,André Bonzel","Benoît Poelvoorde,Rémy Belvaux,André Bonzel,Jacqueline Poelvoorde-Pappaert,Valérie Parent",96 minutes,"Français,Italiano",,"The activities of rampaging, indiscriminate serial killer Ben are recorded by a willingly complicit documentary team, who eventually become his accomplices and active participants. Ben provides casual commentary on the nature of his work and arbitrary musings on topics of interest to him, such as music or the conditions of low-income housing, and even goes so far as to introduce the documentary crew to his family. But their reckless indulgences soon get the better of them.",https://movielens.org/movies/3266
542,Son in Law,1993,Comedy,Steve Rash,"Pauly Shore,Carla Gugino,Lane Smith,Tiffani Thiessen,Cindy Pickett",95 minutes,English,PG-13,"Country girl Rebecca has spent most of her life on a farm in South Dakota, and, when she goes away to college in Los Angeles, Rebecca immediately feels out of place in the daunting urban setting. She is befriended by a savvy party animal named Crawl, who convinces the ambivalent Rebecca to stay in the city. When Thanksgiving break rolls around, Rebecca, no longer an innocent farm girl, invites Crawl back to South Dakota, where he pretends to be her fiancé.",https://movielens.org/movies/542
3412,"Bear, The",1988,Adventure,Jean-Jacques Annaud,"Tchéky Karyo,Jack Wallace,André Lacombe,Bart the Bear,Youk the Bear",94 minutes,English,PG,An orphan bear cub hooks up with an adult male as they try to dodge human hunters.,https://movielens.org/movies/3412
3538,East is East,1999,Comedy,Damien O'Donnell,"Om Puri,Linda Bassett,Ian Aspinall,Jimi Mistry,Archie Panjabi",97 minutes,"English,हिन्दी,Pусский,اردو",R,"In 1971 Salford fish-and-chip shop owner George Khan expects his family to follow his strict Pakistani Muslim ways. But his children, with an English mother and having been born and brought up in Britain, increasingly see themselves as British and start to reject their father's rules on dress, food, religion, and living in general.",https://movielens.org/movies/3538
3798,What Lies Beneath,2000,Thriller,Robert Zemeckis,"Harrison Ford,Michelle Pfeiffer,Diana Scarwid,James Remar,Miranda Otto",130 minutes,English,PG-13,"When Claire Spencer starts hearing ghostly voices and seeing spooky images, she wonders if an otherworldly spirit is trying to contact her. All the while, her husband tries to reassure her by telling her it's all in her head. But as Claire investigates, she discovers that the man she loves might know more than he's letting on.",https://movielens.org/movies/3798
862,Manny & Lo,1996,Drama,Lisa Krueger,"Scarlett Johansson,Aleksa Palladino,Mary Kay Place,Paul Guilfoyle,Glenn Fitzgerald",88 minutes,English,,A pregnant teen and her younger sister run away from foster homes and kidnap a woman whom they believe can help with the pregnancy.,https://movielens.org/movies/862
2958,Naturally Native,1999,Drama,"Valerie Red-Horse,Jennifer Wynne Farmer","Valerie Red-Horse,Yvonne Russo,Irene Bedard,Kimberly Guerrero,Pato Hoffmann",107 minutes,English,PG-13,"Naturally Native follows the lives, loves, pain, joy and relationships of three sisters as they attempt to start their own business. Of American Indian ancestry, but adopted by white foster parents as young children, each sister has her own identity issues and each has chosen a very different career path. Now dedicated to starting a Native cosmetic business, they attempt to overcome obstacles both in the business world and in the home. A touching love story of family and culture, Naturally Native also interweaves a subtle, but strong wake-up call regarding the treatment of Native people in corporate America. Naturally Native also provides some insight into tribal infrastructure and gaming issues.",https://movielens.org/movies/2958
625,Asfour Stah,1990,Drama,Férid Boughedir,"Selim Boughedir,Mustafa Adouani,Rabia Ben Abdallah,Mohammed Driss,Hélène Catzaras",98 minutes,العربية,,"Twelve-year-old Noura dangles uncertainly in that difficult netherworld between childhood and adulthood. His growing libido has gotten him banned from the women's baths, where his mother took him when he was younger, but he's not yet old enough to participate in grown-up discussions with the men of his Tunisian village. Noura's only real friend is a troublemaker named Salih -- the village political outcast.",https://movielens.org/movies/625
3470,Dersu Uzala,1975,Adventure|Drama,Akira Kurosawa,"Yuriy Solomin,Maksim Munzuk,Mikhail Bychkov,B. Khorulev,Vladimir Kremena",141 minutes,Pусский,,"A military explorer meets and befriends a Goldi man in Russia's unmapped forests. A deep and abiding bond evolves between the two men, one civilized in the usual sense, the other at home in the glacial Siberian woods.",https://movielens.org/movies/3470
2470,Crocodile Dundee,1986,Adventure|Comedy,Peter Faiman,"Paul Hogan,Linda Kozlowski,Mark Blum,David Gulpilil,Michael Lombard",104 minutes,English,PG-13,"When a New York reporter plucks crocodile hunter Mick Dundee from the Australian Outback for a visit to the Big Apple, it's a clash of cultures and a recipe for good-natured comedy as naïve Dundee negotiates the concrete jungle. He proves that his instincts are quite useful in the city and adeptly handles everything from wily muggers to high-society snoots without breaking a sweat.",https://movielens.org/movies/2470
2786,Haunted Honeymoon,1986,Comedy,Gene Wilder,"Gene Wilder,Gilda Radner,Dom DeLuise,Jonathan Pryce,Eve Ferret",82 minutes,English,PG,"Radio personalities Larry Abbot and Vickie Pearle are stars of a mystery show. Since they announced their engagement, Larry has been plagued by speech problems and, seeking out an unconventional cure, he returns to his boyhood home, a mansion in the countryside, bringing Vickie along. Larry reunites with numerous family members, but discovers that there are sinister things afoot within the walls of the creepy estate.",https://movielens.org/movies/2786
1086,Dial M for Murder,1954,Mystery|Thriller,Alfred Hitchcock,"Ray Milland,Grace Kelly,Robert Cummings,John Williams,Anthony Dawson",105 minutes,English,PG,"An ex-tennis pro carries out a plot to have his wife murdered after discovering she is having an affair, and assumes she will soon leave him for the other man anyway. When things go wrong, he improvises a new plan—to frame her for murder instead.",https://movielens.org/movies/1086
2107,Halloween: H20,1998,Horror|Thriller,Steve Miner,"Jamie Lee Curtis,Josh Hartnett,Adam Arkin,Michelle Williams,Adam Hann-Byrd",86 minutes,English,R,"Two decades after surviving a massacre on October 31, 1978, former baby sitter Laurie Strode finds herself hunted by persistent knife-wielder Michael Myers. Laurie now lives in Northern California under an assumed name, where she works as the headmistress of a private school. But it's not far enough to escape Myers, who soon discovers her whereabouts. As Halloween descends upon Laurie's peaceful community, a feeling of dread weighs upon her -- with good reason.",https://movielens.org/movies/2107
